id,played_first,moves,winner
135,-1,"3,2,3,2,4,4,4,3,4,1,4,4,6,5,5,3,5,6,5,5,5,0,6,1,6,1,6",-1
136,1,"2,3,4,4,3,3,2,3,2,4,2",1
138,-1,"3,4,3,4,4,3,4,0,4,4,6,0,6,0,6,0",1
139,-1,"3,2,3,2,4,2,5,6,4,5,4,5,4",-1
143,1,"3,2,3,2,3,2,2,2,1,2,1,6,1,6,5,6,6,6,5,6,5,4,4",1
144,-1,"3,0,4,1,4,2,5,6,4,4,4,3,6,5,6,5,4,5,3,2,3,2,2",-1
146,-1,"3,4,3,4,4,2,3,2,3",-1
147,1,"3,2,4,2,5,2,2,2,3,2,3,6,4",1
148,-1,"3,4,3,4,4,3,4,2,3,2,4,2,4",-1
149,1,"4,4,3,2,3,2,3,2,2,2,3",1
151,-1,"3,0,4,1,4,2,5,6,4,4,4,3,6,2,6,2,4,2",1
152,-1,"3,0,4,1,4,2,5,3,6",-1
153,1,"2,3,2,4,2,5,4,6",-1
155,1,"3,2,4,2,2,2,3,3,1,2,1,3,1,3,1",1
156,-1,"3,3,3,4,3,3,3,2,1,2,6,2,5,4,1,5",1
157,-1,"3,3,3,3,3,3,2,2,4,5,1",-1
159,-1,"3,0,4,1,4,2,5,6,4,4,4,3,6,3,6,3,3,2",1
164,-1,"3,2,3,2,4,2,5,6,4,5,4,4,4,6,1,6,1,6",1
166,1,"0,4,0,6,0,5,0",1
169,-1,"3,3,3,3,3,3,2,4,2,4,2,2,2,4,2,4",1
170,-1,"3,4,3,4,4,5,4,5,4,5,4",-1
172,-1,"3,4,3,4,4,3,4,3,3,3,4,2,4",-1
173,1,"2,3,2,4,4,4,2,5,2",1
175,-1,"3,6,4,6,1,6,2",-1
176,1,"0,4,2,5,5,4,6,4,6,4",-1
177,1,"1,4,2,5,2,4,2,5,2",1
179,-1,"3,0,4,3,5,2,6",-1
182,-1,"3,0,4,4,4,5,5,3,5,3,5,5,5,2,6,2,3",-1
