id,played_first,moves,winner
586,-1,"3,0,4,1,4,2,4,3,4",-1
587,1,"3,2,5,4,1,4,0,4,4,4,6,4,5,2,5,2,2,2,5",1
588,-1,"3,0,4,0,6,5,6,5,6,6,6,6,4,4,4,4,4,3,5,3,5,0,5,0",1
589,1,"1,4,4,4,5,5,3,5,3,5,5,5,6,2,1,4,4,4,1,2,1",1
590,-1,"3,0,4,4,4,1,4,0,6,5,6,0,5,0",1
591,1,"5,4,3,2,3,5,3,5,3",1
592,1,"5,4,5,4,0,4,4,4,0,4,0,5,0",1
593,1,"3,2,4,4,0,4,0,4,4,4,5,6,5,6,0,5,0",1
594,-1,"3,6,4,3,4,3,4,2,4",-1
595,1,"6,4,3,2,3,2,0,2,2,2,0,6,0,5,0",1
596,-1,"3,6,4,2,3,2,4,3,4,4,4,0,4,0,6,0,5,0",1
597,1,"4,4,3,2,3,4,3,4,4,4,6,2,0,2,0,2",-1
598,1,"6,4,0,4,4,4,0,4,0,6,3,6,6,6,6,5,2,2,0",1
599,-1,"3,6,4,5,4,0,4,4,4,0,4,0,5,5,5,5,5,3,6,2,6,1,3,3,3,1,3",-1
600,1,"6,4,5,4,0,4,4,4,4,5,0,6,0,5,0",1
601,-1,"3,6,4,6,4,6,4,4,4,2,6,2,5,2,5,5,5,3,5,1,5,1,4,1,6,0,3,0",1
602,-1,"3,0,4,0,6,5,6,6,6,6,6,3,5,5,5,5,5,4,4,4,4,4,2,1,2,3,3",-1
603,1,"6,4,3,2,4,4,1,4,0,4,4,2,0,2,2,2,0,5,0",1
604,-1,"3,0,4,1,4,2,4,5,4",-1
605,1,"6,4,5,4,4,4,5,4,5,4,6,2,6,6,3,5,2,5,1,5,0,6,0,3,0,3,1,3",-1
606,1,"6,4,5,4,5,4,4,4,3,2,2,4,3,2,3,6,3",1
607,-1,"3,6,4,5,4,0,4,4,4,2,4,2,6,2,5,2",1
608,1,"3,2,3,2,3,2,2,2,6,2,6,6,6,6,6,4,5,4,5,4,4,4,5,4,1,5,1,5,1,5,1",1
609,-1,"3,6,4,0,4,3,4,4,4,0,4,0,5,0",1
610,1,"3,2,3,2,2,2,2,2,3,5,5,4,5,5,5,5,0,4,0,6,0,6,0",1
611,-1,"3,6,4,3,4,2,3,4,3,0,4,0,6,0,5,0",1
612,-1,"3,6,4,5,4,4,4,4,4,3,3,3,3,2,2,2,1",-1
613,1,"2,4,2,4,2,4,4,4,3,5,3,2,3,6,3",1
614,-1,"3,6,4,6,4,6,4,4,4,5,4,5,6,5,5,0,5,0,5,0,3,1,2",-1
615,1,"2,4,2,4,2,4,3,4",-1
617,1,"5,4,5,4,5,4,3,4",-1
618,1,"6,4,6,4,6,4,0,4",-1
619,1,"5,4,5,4,5,4,1,4",-1
621,1,"4,4,4,4,4,4,5,5,5,5,5,5,6,3,6,3,6,6,6,6,0,3,0,3",-1
623,-1,"3,6,4,4,4,3,4,2,5,1,5,2,5,2,5",-1
624,1,"0,4,0,6,5,6,3,6,3,6",-1
625,1,"3,2,3,2,1,2,2,2,6,2,6,4,6,6,0,5,0,5,0,5,5,5,0",1
627,1,"3,2,3,2,0,2,2,2,4,6,6,6,6,6,6,5,5,3,4",1
628,1,"3,2,3,2,2,2,3,4,4,5,6,4,3",1
630,1,"1,4,1,4,0,4,4,4,6,4,6,6,6,6,6,5,5,5,3,2,2,2,2,2,2,5,0,3",-1
631,1,"6,4,5,4,4,4,4,4,3,2,3,2,3,2,2,2,2,6,6,6,6,6,5,5,5",1
632,-1,"3,0,4,0,6,5,6,3,6,3,6",-1
633,1,"0,4,6,4,1,4,4,4,5,4,3,2,3,2,3,2,2,2,3",1
634,-1,"3,0,4,6,4,5,4,4,4,4,5,3,5,6,6,3,6",-1
635,1,"3,2,3,2,2,2,3,4,4,5,5,5,6,4,0,4,0,4,4,2,0,5,0",1
636,-1,"3,3,3,3,3,1,3,1,2,1,4,5,5,1",1
637,-1,"3,3,3,3,3,4,3,4,1,4,1,4",1
638,-1,"3,2,3,2,2,1,3,3,3,0,3,0,6,0,0,6,5,4,6,6,5,5,5,5,5,1,6,1,1,4,0",-1
639,1,"2,3,2,4,2,2,5,5,6,4,4,4,5,4,1,4,0,6,3,3,6,5,6,3",-1
640,1,"3,2,4,4,5,6,5,4,4,5,3,5,3,3,0,5,5,4,3,6,6,6,6,6,1,2,2,2,2,2,3,4,1,1,1",1
641,-1,"3,0,4,1,4,5,4,4,4,3,5,5,5,6,4,6,5,6,6,6,5,2,6,2,3,2,2,2,3,3",1
642,-1,"3,0,4,1,4,0,6,5,6,1,6,6,6,3,5,5,5,5,5,0,0,1,1,3,3,2,2,2",1
643,1,"3,2,6,4,0,4,0,4,4,4,1,4,1,6,1,1,0,0,3,2,5,5,6,5,5,5,6,5,6,6,2,3,3",1
644,-1,"3,2,3,2,2,1,3,1,3",-1
645,1,"6,4,6,4,0,4,4,4,1,4,5,6,5,6,5,5,0,5,0,0,1,5,1,1,0,3,1,3,0,2",-1
646,1,"6,4,0,4,1,4,3,4",-1
647,1,"6,4,4,4,0,4,1,4,3,4",-1
649,1,"3,2,3,2,3,3,0,2,2,2,6,2,6,6,6,6,6,4,5,4,5,4,4,4,0,4,1,1",-1
650,1,"6,4,5,4,0,4,4,4,1,4,5,6,5,5,6,6,5,5,0,2,1,2,6,2,2,2,2,6,1,1,0,0,0,3,3,3,3,3,3,1",-1
651,1,"0,4,0,6,0,0,1,5,1,3",-1
652,1,"0,4,0,6,5,6,5,6,6,6,3,3,3,4,2,1,2,3,3,4,4,4,5,5",-1
653,1,"6,4,0,4,4,4,1,4,1,4,0,6,0,0,2,3,2,3,2,2,1,1,5,5",-1
654,1,"6,4,3,2,2,4,1,4,4,4,1,4,1,1,3,3,0,0,0,0,6,5,6,6,5,5,2,2",-1
655,1,"3,2,3,2,3,3,0,2,2,2,6,2,6,6,0,6,0,0,5,4,5,4,5,5,1,5,1,5,1,1,4,4",-1
656,1,"6,4,4,4,5,4,3,4,4,2,2,2,1,2,3,1,5",1
657,-1,"3,6,4,3,4,5,4,4,4,6,4,6,6,0,5,0,5",-1
658,1,"2,3,2,4,2,2,5,5,6,4,4,4,0,4,0,6,3,6,5,3,6,5,3,6,5,5,0,0,3,3",-1
659,1,"4,4,3,2,3,2,3,3,0,2,2,2,6,5,5,2,4,6,0,6,6,6,1,6,1,3,1,1,1,3,4,0",-1
660,1,"5,4,5,4,5,5,0,4,4,4,2,4,0,5,2,6,6,6,6,6,0,0,5,3,2,3",-1
661,1,"3,2,1,2,1,2,2,2,6,2,5,4,4,4,3,3,1,1,6,5,5,3",-1
662,1,"0,4,0,6,5,6,0,0,6,5,6,5,4,5,5,5,4,6,3,3,3,4,1,2,1,3,1,3",-1
663,1,"2,3,6,4,5,4,3,4,4,4,3,3,1,2,1,3,1,1,6,4,6,6,5,5",-1
664,1,"5,4,3,2,3,5,3,3,1,5,0,5,5,5,2,4,3,4,4",1
665,-1,"3,6,4,6,4,6,6,0,5,1,2",-1
666,1,"6,4,4,4,0,4,3,4,4,2,2,2,2,2,3,2,0,6,0,0,6,5,5",1
667,-1,"3,4,3,2,4,1,3,3,3,4,3,4,1,2,1,2,2,5,1,1,1,2,5,4,4",-1
668,1,"0,4,0,6,5,6,6,6,0,0,5,5,4,5,4,5,5,6,4,4,3,6,3,2,3,2,2,2,2,3,3,2,3,4,0,1,1,1,1",1
669,-1,"3,6,4,2,3,3,4,4,4,4,4,2,3,1,3,0,2,0,6,0,0,1,2,1,1",-1
670,1,"6,4,5,4,3,2,3,4,4,4,0,4,0,2,1,2,2,2,6,6,5,6,5,5,3,3,3",1
671,-1,"3,0,4,5,4,4,4,5,4,6,4,3,6,2,6,6,6,5,5,1,3,3",1
672,-1,"3,0,4,5,4,4,4,2,4,3,4,5,6,6,6,5,5,6,6,5,5,1,3,2,3,1,2",-1
673,1,"3,2,5,4,0,4,4,4,2,4,3,4,3,3,1,6,0,1,2,1,1,6,6,6,2,2,3,6,6,5,5",1
